time,open,high,low,close,volume
2022/06/21-13:45,4323.56,4325.47,4317.47,4324.58,582109
2022/06/21-13:50,4324.53,4324.53,4318.0,4318.0,420037
2022/06/21-13:55,4318.01,4318.01,4308.82,4310.86,594889
2022/06/21-14:00,4310.84,4310.84,4303.72,4304.42,551536
2022/06/21-14:05,4304.37,4310.97,4304.23,4306.45,475636
2022/06/21-14:10,4306.19,4306.19,4295.7,4296.91,733729
2022/06/21-14:15,4296.74,4297.33,4287.14,4292.05,792892
2022/06/21-14:20,4292.03,4301.52,4290.06,4301.43,564970
2022/06/21-14:25,4301.45,4304.69,4297.31,4297.31,484799
2022/06/21-14:30,4297.33,4301.04,4295.14,4299.15,413705
2022/06/21-14:35,4298.9,4314.6,4298.02,4314.6,552301
2022/06/21-14:40,4314.76,4324.29,4314.56,4324.29,553849
2022/06/21-14:45,4324.09,4328.13,4320.08,4326.36,590704
2022/06/21-14:50,4326.78,4329.02,4326.75,4326.8,552716
2022/06/21-14:55,4326.8,4326.8,4323.11,4326.07,659425
2022/06/21-15:00,4325.53,4326.09,4325.02,4325.57,634944
2022/06/22-09:35,4331.9,4333.18,4320.9,4320.9,2101365
2022/06/22-09:40,4320.62,4324.24,4317.65,4322.62,1419929
2022/06/22-09:45,4322.27,4322.27,4309.54,4309.7,1215128
2022/06/22-09:50,4309.76,4315.95,4305.02,4313.31,1043060
2022/06/22-09:55,4313.42,4313.59,4304.07,4305.37,949459
2022/06/22-10:00,4305.69,4324.22,4305.69,4324.22,875543
2022/06/22-10:05,4324.23,4329.44,4321.22,4321.22,902729
2022/06/22-10:10,4321.28,4322.92,4315.2,4316.08,707791
2022/06/22-10:15,4316.2,4320.49,4314.27,4318.65,675633
2022/06/22-10:20,4317.6,4317.6,4311.06,4311.06,700254
2022/06/22-10:25,4311.05,4315.37,4306.78,4315.37,630203
2022/06/22-10:30,4315.54,4317.37,4313.77,4315.99,615292
2022/06/22-10:35,4316.08,4323.01,4314.8,4322.89,625346
2022/06/22-10:40,4322.88,4324.33,4311.53,4311.97,627159
2022/06/22-10:45,4310.97,4311.18,4303.75,4305.86,589713
2022/06/22-10:50,4305.87,4310.39,4304.98,4308.29,465635
2022/06/22-10:55,4306.89,4308.63,4302.12,4308.63,565870
2022/06/22-11:00,4308.33,4308.4,4304.7,4304.7,427170
2022/06/22-11:05,4304.77,4304.77,4295.41,4296.18,541543
2022/06/22-11:10,4296.18,4299.19,4294.54,4299.19,445644
2022/06/22-11:15,4298.94,4300.53,4297.79,4298.83,345706
2022/06/22-11:20,4298.83,4305.26,4297.12,4297.13,348236
